40 892 120
0 1 66 52
0 2 97 28
1 2 34 71
1 4 39 33
2 3 32 48
2 5 68 43
2 7 18 10
3 4 86 18
3 5 85 1
3 9 3 33
4 5 99 56
4 7 83 63
4 9 9 93
5 6 50 96
5 10 54 49
6 7 85 61
6 8 65 33
6 12 51 81
7 8 90 56
7 13 13 64
8 9 51 82
8 10 10 95
8 11 25 94
8 13 73 99
9 10 90 22
9 11 7 79
9 14 11 42
9 15 34 54
10 11 83 0
10 13 31 20
10 14 89 58
10 16 61 56
11 12 26 37
11 13 31 60
11 15 35 16
11 16 28 83
12 13 61 26
12 14 31 82
12 16 63 8
13 14 93 61
13 16 6 70
13 17 57 49
14 15 77 57
15 16 74 18
15 18 5 99
16 17 3 66
16 18 59 3
16 22 8 11
17 18 66 69
17 20 85 38
17 21 25 97
17 23 0 98
18 19 34 87
18 23 100 58
19 20 8 44
19 21 76 38
19 22 14 90
19 23 2 84
20 21 7 68
20 25 12 87
21 22 32 8
21 23 2 89
21 25 13 51
21 26 80 9
22 23 67 48
22 24 33 98
22 25 51 23
22 28 9 66
23 24 7 83
23 27 55 94
23 28 5 21
23 29 74 93
24 25 24 53
25 26 2 50
25 27 100 27
25 29 42 100
25 31 86 67
26 27 55 65
26 29 71 50
27 28 71 4
27 30 42 44
27 32 92 89
28 29 85 61
28 30 25 49
28 31 21 99
28 33 13 48
29 30 21 34
29 34 83 25
29 35 5 5
30 31 41 15
30 34 37 38
30 36 11 5
31 32 13 56
31 35 88 92
31 36 72 96
32 33 70 70
32 35 24 46
32 36 65 76
33 34 48 55
33 37 62 32
33 39 82 59
34 35 32 34
34 37 12 72
34 38 11 89
34 39 70 96
34 40 8 38
35 36 2 63
35 37 52 83
35 38 44 21
35 39 30 20
35 40 80 53
36 37 6 8
36 39 83 27
36 40 31 84
37 38 26 47
37 39 32 57
37 40 83 81
38 39 53 25
38 40 60 48
39 40 57 93
